Unnamed: 0,english,中文
0,abacus,算盤
1,abate,減弱
2,abdication,退位
3,aberration,畸變
4,abet,助長
5,abeyance,暫存
6,abhor,痛恨
7,abide,遵守
8,abjure,棄絕
9,abraded,磨擦
10,abrogate,廢除
11,abscond,潛逃
12,abstruse,奧妙
13,abut,鄰接
14,abysmal,深淵
15,acarpous,果斷的
16,acclaimed,廣受好評
17,accolade,讚譽
18,accretion,積聚
19,adamant,堅定
20,admonitory,告誡
21,adorn,裝飾
22,adulteration,摻假
23,affable,和藹可親
24,affinity,親和力
25,aggravate,加劇
26,agile,敏捷
27,agog,激動的
28,ail,艾爾
29,alacrity,痛苦
30,alcove,壁co
31,allegiance,忠誠
32,alleviate,減輕
33,alloy,合金
34,aloof,超然
35,amalgamate,合併
36,ambidextrous,野心
37,ambiguous,模糊的
38,ambivalent,矛盾
39,ameliorate,改善
40,amortize,緩衝
41,anguish,痛苦
42,animosity,敵意
43,antidote,解毒劑
44,antithetical,對立
45,apartheid,種族隔離
46,aplomb,沉睡
47,apostate,叛教
48,apotheosis,神化
49,appease,安撫
50,apprehensive,憂慮
51,apprise,通知
52,approbation,讚許
53,apropos,apropos
54,apt,易於
55,arabesque,阿拉伯式
56,arboreal,樹木
57,ardor,熱情
58,arduous,艱鉅
59,argot,隱語
60,arrogance,傲慢
61,articulate,口號
62,ascend,上升
63,ascertain,探明
64,ascetic,苦行者
65,ascribe,歸咎於
66,aseptic,無菌
67,asperity,阿斯特
68,aspersion,誹謗
69,assail,攻擊
70,assiduous,刻苦
71,assuage,緩和
72,asterisk,星號
73,astringent,澀
74,astute,精明
75,atonement,贖罪
76,attenuate,衰減
77,attune,阿特納
78,audacious,大膽
79,augury,預備
80,august,八月
81,auspicious,吉祥
82,austere,樸素
83,auxiliary,輔助的
84,aver,斷言
85,aversion,厭惡
86,avid,狂熱
87,avow,承認
88,baleful,Baleful
89,balk,巴爾克
90,baneful,救助
91,barrage,彈幕
92,barren,荒蕪
93,bask,曬
94,beatify,勝過
95,bedizen,床
96,belabor,Belabor
97,bellicose,好鈴鐺
98,belligerent,好戰
99,benefactor,恩人
100,benevolence,仁
101,benign,良性
102,bequest,遺贈
103,berate,blate
104,bereft,失去
105,bewilder,迷人
106,bigot,偏執
107,bilge,bilge
108,blandishment,坦率
109,blandness,平淡
110,blatant,公然
111,blithe,Blithe
112,bogus,虛假
113,boisterous,熱鬧
114,bolster,加強
115,boorish,粗野
116,brash,勇敢
117,brass,黃銅
118,brazen,厚顏無恥
119,breach,違反
120,brittle,脆
121,broach,布拉奇
122,brook,溪
123,buoyant,浮力
124,burgeon,發芽
125,burnish,磨損
126,cabal,陰謀
127,cadge,乞討
128,cajole,哄騙
129,calipers,卡尺
130,calumny,誹謗
131,candid,坦率
132,cant,不能
133,cantankerous,笨蛋
134,canvass,帆布
135,castigate,鞭撻
136,castigation,施法
137,catalyst,催化劑
138,caustic,苛刻
139,censure,譴責
140,centurion,百夫長
141,chary,chary
142,chastened,責罵
143,chastisement,懲罰
144,chauvinist,沙文主義者
145,chicanery,強辯
146,chisel,鑿
147,churl,吝嗇鬼
148,clamor,叫囂
149,clientele,客戶
150,clinch,成交
151,cling,保留
152,clot,凝塊
153,cloture,凝結
154,coagulation,凝血
155,coalescing,合併
156,coax,哄
157,coda,結尾
159,coerce,脅迫
160,coeval,coeval
161,cogent,有說服力
162,cogitate,凝分
163,cognizant,認知
164,colander,濾器
165,collusion,共謀
166,combustion,燃燒
167,commemorate,紀念
168,commodious,豐盛
169,commuter,通勤者
170,complaisance,擁擠
171,compunction,綜合
172,conceal,隱藏
173,conceit,自負
174,conciliatory,和解
175,concord,和睦
176,concur,同意
177,condense,凝結
178,condone,寬恕
179,congeal,凝
180,conjoin,連接
181,connoisseur,行家
182,connotation,內涵
183,consequential,結果
184,console,安慰
185,conspicuous,顯著
186,consternation,驚愕
187,constrain,約束
188,constrict,收縮
189,consume,消耗
190,consummate,完善
191,contemn,蔑視
192,contentious,有爭議
193,contiguous,連續
194,contrite,con悔
195,contumacious,笨拙
196,conundrum,難題
197,conviction,定罪
198,convoke,召開
199,convoluted,捲曲
200,cordial,親切
201,cordon,警戒線
202,cornucopia,聚寶盆
203,corporeal,有形
204,correlate,相關
205,corroboration,佐證
206,countenance,面容
207,counterfeit,偽造
208,countervail,抵銷
209,covert,隱蔽
210,covetous,貪婪
211,cower,退縮
212,coy,y
213,crass,粗俗
214,cravat,領結
215,craven,懦夫
216,crease,摺痕
217,credulity,信譽
218,credulous,輕信
219,crush,壓碎
220,cryptic,隱秘
221,cumbersome,笨重
222,curmudgeon,Curmudgeon
223,curriculum,課程
224,cursory,粗略
225,curtail,削減
226,dainty,纖巧
227,daunt,嚇住
228,dawdler,懶人
229,dearth,缺乏
230,debacle,崩潰
231,decorum,禮儀
232,decree,法令
233,decry,譴責
234,defer,推遲
235,deferential,遞延
236,defiance,蔑視
237,delineate,描繪
238,deluge,洪水
239,demagogue,煽動
240,demur,demur
241,denigrate,貶低
242,denouement,結局
243,deplete,消耗
244,deposition,沉積
245,deprave,墮落
246,deprecate,貶低
247,dereliction,丟失
248,derision,嘲笑
249,derivative,衍生物
250,derogatory,貶
251,descry,叛亂
252,desiccant,乾燥劑
253,desuetude,廢止
254,desultory,desultory
255,deter,阻止
256,detraction,有害
257,detumescence,取代
258,deviance,偏差
259,dexterity,靈巧
260,diaphanous,透明
261,diatribe,肌
262,diffidence,差異
263,dilate,擴張
264,disallow,不允許
265,discern,辨別
266,discomfit,沮喪
267,disconcert,攪亂
268,discountenance,折扣
269,discourse,話語
270,discredit,抹黑
271,discreet,慎重
272,discrete,離散的
273,disdain,蔑視
274,disencumber,壓縮機
275,disheveled,衣衫不整
276,disingenuous,不明智
277,disinter,發掘
278,dislodge,脫落
279,dismal,慘淡
280,disparate,不同的
281,disproof,調解
282,dissemble,掩飾
283,disseminate,傳播
284,dissent,異議
285,dissolution,解散
286,distraught,心煩意亂
287,divergence,發散
288,divestiture,剝離
289,divulge,洩露
290,doggerel,狗狗
291,dogmatic,教條
292,dolt,dolt
293,dormant,休眠
294,dote,寵愛
295,drawl,drawl
296,droll,滑稽
297,drone,無人機
298,drowsiness,睡意
299,dubious,可疑
300,dud,達德
301,dulcet,dulcet
302,dupe,欺騙
303,duplicity,表裡不一
304,duress,脅迫
305,dwarf,矮人
306,dynamo,發電機
307,earthenware,陶器
308,ebullience,沸騰
309,ebullient,熱情洋溢
310,ecumenical,普世
311,edacious,饞
312,eddy,渦流
313,edible,食用
314,effete,EFFETE
315,efficacy,功效
316,effluvia,流體
317,effrontery,厚顏無恥
318,egress,出口
319,elaborate,精心製作的
320,elegy,輓歌
321,elicit,引起
322,eloquence,口才
323,emaciate,消瘦
324,embellish,潤
325,embezzle,挪用
326,emote,表情
327,empirical,經驗
328,encapsulate,封裝
329,encomium,封裝
330,encumbrance,累贅
331,endearing,可愛
332,endemic,流行
333,endorse,認可
334,enduring,持久
335,enervate,敏捷
336,engender,產生
337,engrave,雕刻
