english,中文
abacus,算盤
abate,減弱
abdication,退位
aberration,畸變
abet,助長
abeyance,暫存
abhor,痛恨
abide,遵守
abjure,棄絕
abraded,磨擦
abrogate,廢除
abscond,潛逃
abstruse,奧妙
abut,鄰接
abysmal,深淵
acarpous,果斷的
acclaimed,廣受好評
accolade,讚譽
accretion,積聚
adamant,堅定
admonitory,告誡
adorn,裝飾
adulteration,摻假
affable,和藹可親
affinity,親和力
aggravate,加劇
agile,敏捷
agog,激動的
ail,艾爾
alacrity,痛苦
alcove,壁co
allegiance,忠誠
alleviate,減輕
alloy,合金
aloof,超然
amalgamate,合併
ambidextrous,野心
ambiguous,模糊的
ambivalent,矛盾
ameliorate,改善
amortize,緩衝
anguish,痛苦
animosity,敵意
antidote,解毒劑
antithetical,對立
apartheid,種族隔離
aplomb,沉睡
apostate,叛教
apotheosis,神化
appease,安撫
apprehensive,憂慮
apprise,通知
approbation,讚許
apropos,apropos
apt,易於
arabesque,阿拉伯式
arboreal,樹木
ardor,熱情
arduous,艱鉅
argot,隱語
arrogance,傲慢
articulate,口號
ascend,上升
ascertain,探明
ascetic,苦行者
ascribe,歸咎於
aseptic,無菌
asperity,阿斯特
aspersion,誹謗
assail,攻擊
assiduous,刻苦
assuage,緩和
asterisk,星號
astringent,澀
astute,精明
atonement,贖罪
attenuate,衰減
attune,阿特納
audacious,大膽
augury,預備
august,八月
auspicious,吉祥
austere,樸素
auxiliary,輔助的
aver,斷言
aversion,厭惡
avid,狂熱
avow,承認
baleful,Baleful
balk,巴爾克
baneful,救助
barrage,彈幕
barren,荒蕪
bask,曬
beatify,勝過
bedizen,床
belabor,Belabor
bellicose,好鈴鐺
belligerent,好戰
benefactor,恩人
benevolence,仁
benign,良性
bequest,遺贈
berate,blate
bereft,失去
bewilder,迷人
bigot,偏執
bilge,bilge
blandishment,坦率
blandness,平淡
blatant,公然
blithe,Blithe
bogus,虛假
boisterous,熱鬧
bolster,加強
boorish,粗野
brash,勇敢
brass,黃銅
brazen,厚顏無恥
breach,違反
brittle,脆
broach,布拉奇
brook,溪
buoyant,浮力
burgeon,發芽
burnish,磨損
cabal,陰謀
cadge,乞討
cajole,哄騙
calipers,卡尺
calumny,誹謗
candid,坦率
cant,不能
cantankerous,笨蛋
canvass,帆布
castigate,鞭撻
castigation,施法
catalyst,催化劑
caustic,苛刻
censure,譴責
centurion,百夫長
chary,chary
chastened,責罵
chastisement,懲罰
chauvinist,沙文主義者
chicanery,強辯
chisel,鑿
churl,吝嗇鬼
clamor,叫囂
clientele,客戶
clinch,成交
cling,保留
clot,凝塊
cloture,凝結
coagulation,凝血
coalescing,合併
coax,哄
coda,結尾
coddle,溺愛
coerce,脅迫
coeval,coeval
cogent,有說服力
cogitate,凝分
cognizant,認知
colander,濾器
collusion,共謀
combustion,燃燒
commemorate,紀念
commodious,豐盛
commuter,通勤者
complaisance,擁擠
compunction,綜合
conceal,隱藏
conceit,自負
conciliatory,和解
concord,和睦
concur,同意
condense,凝結
condone,寬恕
congeal,凝
conjoin,連接
connoisseur,行家
connotation,內涵
consequential,結果
console,安慰
conspicuous,顯著
consternation,驚愕
constrain,約束
constrict,收縮
consume,消耗
consummate,完善
contemn,蔑視
contentious,有爭議
contiguous,連續
contrite,con悔
contumacious,笨拙
conundrum,難題
conviction,定罪
convoke,召開
convoluted,捲曲
cordial,親切
cordon,警戒線
cornucopia,聚寶盆
corporeal,有形
correlate,相關
corroboration,佐證
countenance,面容
counterfeit,偽造
countervail,抵銷
covert,隱蔽
covetous,貪婪
cower,退縮
coy,y
crass,粗俗
cravat,領結
craven,懦夫
crease,摺痕
credulity,信譽
credulous,輕信
crush,壓碎
cryptic,隱秘
cumbersome,笨重
curmudgeon,Curmudgeon
curriculum,課程
cursory,粗略
curtail,削減
dainty,纖巧
daunt,嚇住
dawdler,懶人
dearth,缺乏
debacle,崩潰
decorum,禮儀
decree,法令
decry,譴責
defer,推遲
deferential,遞延
defiance,蔑視
delineate,描繪
deluge,洪水
demagogue,煽動
demur,demur
denigrate,貶低
denouement,結局
deplete,消耗
deposition,沉積
deprave,墮落
deprecate,貶低
dereliction,丟失
derision,嘲笑
derivative,衍生物
derogatory,貶
descry,叛亂
desiccant,乾燥劑
desuetude,廢止
desultory,desultory
deter,阻止
detraction,有害
detumescence,取代
deviance,偏差
dexterity,靈巧
diaphanous,透明
diatribe,肌
diffidence,差異
dilate,擴張
disallow,不允許
discern,辨別
discomfit,沮喪
disconcert,攪亂
discountenance,折扣
discourse,話語
discredit,抹黑
discreet,慎重
discrete,離散的
disdain,蔑視
disencumber,壓縮機
disheveled,衣衫不整
disingenuous,不明智
disinter,發掘
dislodge,脫落
dismal,慘淡
disparate,不同的
disproof,調解
dissemble,掩飾
disseminate,傳播
dissent,異議
dissolution,解散
distraught,心煩意亂
divergence,發散
divestiture,剝離
divulge,洩露
doggerel,狗狗
dogmatic,教條
dolt,dolt
dormant,休眠
dote,寵愛
drawl,drawl
droll,滑稽
drone,無人機
drowsiness,睡意
dubious,可疑
dud,達德
dulcet,dulcet
dupe,欺騙
duplicity,表裡不一
duress,脅迫
dwarf,矮人
dynamo,發電機
earthenware,陶器
ebullience,沸騰
ebullient,熱情洋溢
ecumenical,普世
edacious,饞
eddy,渦流
edible,食用
effete,EFFETE
efficacy,功效
effluvia,流體
effrontery,厚顏無恥
egress,出口
elaborate,精心製作的
elegy,輓歌
elicit,引起
eloquence,口才
emaciate,消瘦
embellish,潤
embezzle,挪用
emote,表情
empirical,經驗
encapsulate,封裝
encomium,封裝
encumbrance,累贅
endearing,可愛
endemic,流行
endorse,認可
enduring,持久
enervate,敏捷
engender,產生
engrave,雕刻
engrossing,令人著迷
engulf,吞噬
enigma,謎
enmity,敵意
ensign,軍旗
entangle,絞
enthral,迷人
entice,誘惑
entreat,懇求
enunciate,分解
enzyme,酶
epicurean,伊壁鳩魯
epistle,書信
epithet,詞
epitome,縮影
equable,公平
equanimity,寧靜
equilibrium,平衡
equipoise,設置
equivocal,模棱兩可
equivocate,模棱兩可
eradicate,根除
erratic,不穩定的
erudite,博學
eschew,避開
esoteric,深奧
espouse,擁護
eulogy,頌
euphoria,欣快
euthanasia,安樂死
evasive,迴避
evince,表明
evoke,喚起
excoriation,挖掘
exculpate,剝奪
exhaustive,詳盡無遺
exigency,緊急情況
exoneration,免除
exorbitant,高昂
expatiate,外籍
expedient,權宜
expiation,到期
exploit,開發
expostulate,拆除
expurgate,expurgate
exscind,前景
extant,現存
extempore,即興
extenuate,減輕
extinct,滅絕
extinguish,熄滅
extirpate,根除
extol,extol
extort,勒索
extralegal,外部
extricable,可以解決
extrovert,外向
exuberance,旺盛
facetious,方面
facile,便利
fallacious,謬誤
falter,步履蹣跚
fatuous,昏庸
fawn,討好
feckless,無情
fecund,Fecund
feint,假
felicitous,輕率
felon,重罪
ferment,發酵
ferocity,惡
ferret,雪貂
fervid,狂熱
fervor,熱情
fetid,惡作劇
fetter,束縛
feud,世仇
fidelity,忠誠
fidget,煩躁
figurehead,figurehead
finesse,技巧
finical,民主
finicky,挑剔
fission,裂變
fixate,固定
flak,flak
flamboyant,龍飛鳳舞
flaunting,炫耀
flax,亞麻
fledged,逃走了
fleet,艦隊
flinch,退縮
flop,翻牌
florid,佛羅里達
flout,Flout
fluke,吸蟲
fluster,慌亂
foible,怪癖
foil,挫敗
foment,罨
foolproof,萬無一失
foppish,Foppish
forage,飼料
forbear,野蠻人
forbearance,寬容
ford,福特
forestall,壟斷
forfeit,喪失
forge,鍛造
forgery,偽造
forswear,作偽證
foster,促進
fracas,弗卡斯
fragile,脆弱的
fragrant,香
frantic,瘋狂
frenetic,瘋狂
fret,煩惱
fringe,邊緣
froward,弗羅德
frugal,節儉
